questions,keywords,lang
Estava a cubano Míssil Crise mais cedo do que a Baía do Porcos Invasão? ,"cubano Míssil Crise ,  mais cedo ,  Baía do Porcos Invasão ",pt
Was the Cuban Missile Crisis earlier than the Bay of Pigs Invasion?,"Cuban Missile Crisis, earlier, Bay of Pigs Invasion",en
क्या क्यूबाई मिसाइल संकट बे ऑफ़ पिग्स आक्रमण के पहले हुआ था?,"क्यूबाई मिसाइल संकट, बे ऑफ़ पिग्स आक्रमण, पहले हुआ",hi_IN
آیا بحران موشک های کوبایی قبل از عملیات خلیج خوک ها بوده؟,"بحران  موشک  کوبایی, قبلا, تهاجم  خوک ها  از  خلیج",fa
La crisi dei missili di Cuba avvenne prima dello sbarco nella Baia dei Porci?,"Crisi dei missili di Cuba, precedente, sbarco nella Baia dei Porci",it
La crise des missiles de Cuba a-t-elle eu lieu avant the débarquement de la baie des Cochons?,"Débarquement de la baie des Cochons, crise des missiles de Cuba",fr
A fost  cubanez rachetă Criză mai devreme decât  Dafin de porci Invazie? ,"cubanez rachetă Criză ,  mai devreme ,  Dafin de porci Invazie ",ro
¿Fué la crisis de cuba antes de la invasión de bahía de cochinos?,"crísis de cuba, anterior a la invasión de bahía de cochinos?",es
Was de Cubacrisis eerder dan de invasie in de Varkensbaai?,"Cubacrisis, eerder dan, invasie in de Varkensbaai",nl
Welche Zutaten brauche ich für Möhrenkuchen?,"Möhrenkuchen, Zutaten",de
Который ингредиенты делать я необходимость для морковь кекс? ,"морковь кекс ,  ингредиенты ",ru
Qual Ingredientes Faz Eu necessidade para cenoura bolo? ,"cenoura bolo ,  Ingredientes ",pt
Which ingredients do I need for carrot cake?,"carrot cake, ingredients",en
गाजर केक के लिए मुझे कौन से सामग्री की आवश्यकता है?,"गाजर केक, सामग्री",hi_IN
چه مواد اولیه ای را من برای کیک هویج نیاز دارم؟,مواد اولیه ای، کیک هویج,fa
Di quali ingredienti ho bisogno per la torta di carote?,"ingredienti, torta di carote",it
Quels sont les ingrédients du gateau aux carottes?,"ingrédients, gateau aux carottes",fr
De ce ingrediente am nevoie pentru tort de morcovi?,"tort de morcovi, ingrediente",ro
¿Qué ingredientes son necesarios para una tarta de zanahorias?,"ingredientes, tarta de zanahorias?",es
Welke ingrediënten heb ik nodig voor worteltaart?,"worteltaart, ingrediënten",nl
Wer hat Wikipedia gegründet?,"Wikipedia, gründen",de
Кто созданный Википедия? ,"Википедия ,  созданный ",ru
Quem criada Wikipédia? ,"Wikipedia ,  criada ",pt
Who created Wikipedia?,"Wikipedia, created",en
विकिपीडिया किसने बनाया?,"विकिपीडिया, निर्माता",hi_IN
چه کسی ویکیپدیا را ساخته است؟,"ویکیپدیا, ایجاد شده",fa
Chi ha creato Wikipedia?,"Wikipedia, creatore",it
Qui est le créateur de Wikipedia?,"créateur, Wikipedia",fr
Care creată Wikipedia? ,"Wikipedia ,  creată ",ro
¿Quién creó Wikipedia?,"Wikipedia, creador",es
Wie heeft Wikipedia opgericht?,"Wikipedia, oprichter",nl
Was ist das höchste Berg im Sachsen Deutschland? ,"höchste ,  Berg ,  Sachsen ,  Deutschland ",de
Какие является  наибольший гора в Саксония Германия? ,"наибольший ,  гора ,  Саксония ,  Германия ",ru
o que é a maior montanha dentro Saxônia Alemanha? ,"maior ,  montanha ,  Saxônia ,  Alemanha ",pt
What is the highest mountain in Saxony Germany?,"highest, mountain, Saxony, Germany",en
सैक्सोनी जर्मनी में कौन सा पहाड़ सबसे ऊंचा है?,"उच्चतम ,  पर्वत ,  सैक्सोनी ,  जर्मनी ",hi_IN
بلندترین کوه در ساکسونی آلمان کجاست؟,"  بالاترین,    کوه,    زاکسن,    آلمان",fa
Che cosa è il massimo montagna in Sassonia Germania? ,"massimo ,  montagna ,  Sassonia ,  Germania ",it
Quelle est la le plus élevé Montagne dans Saxe Allemagne? ,"le plus élevé ,  Montagne ,  Saxe ,  Allemagne ",fr
Ce este  cel mai inalt Munte în Saxonia Germania? ,"cel mai inalt ,  Munte ,  Saxonia ,  Germania ",ro
Qué es el más alto montaña en Sajonia ¿Alemania? ,"más alto ,  montaña ,  Sajonia ,  Alemania ",es
Wat is de hoogst berg- in Saksen Duitsland? ,"hoogst ,  berg- ,  Saksen ,  Duitsland ",nl
Wer ist das Strom Bundes Minister von Finanzen im Deutschland? ,"Bundes Minister von Finanzen ,  Deutschland ",de
Кто является  текущий федеральный министр из финансы в Германия? ,"федеральный министр из финансы ,  Германия ",ru
Quem é a atual Federal ministro do finança dentro Alemanha? ,"Federal ministro do finança ,  Alemanha ",pt
Who is the current federal minister of finance in Germany?,"federal minister of finance, germany",en
कौन है  वर्तमान संघीय वित्तमंत्री जर्मनी में? ,"संघीय वित्तमंत्री, जर्मनी",hi_IN
  آلمان؟  که در  دارایی، مالیه، سرمایه گذاری  از  وزیر  فدرال  جاری  این  است  که,"  دارایی، مالیه، سرمایه گذاری  از  وزیر  فدرال,    آلمان",fa
Chi è il attuale federale ministro di finanza in Germania? ,"federale ministro di finanza ,  Germania ",it
Qui est la actuel fédéral ministre de la finance dans Allemagne? ,"fédéral ministre de la finance ,  Allemagne ",fr
Care este  actual federal ministru de finanţa în Germania? ,"federal ministru de finanţa ,  Germania ",ro
Quien es el corriente federal ministro de financiar en ¿Alemania? ,"federal ministro de financiar ,  Alemania ",es
Wie is de actueel federaal minister van financiën in Duitsland? ,"federaal minister van financiën ,  Duitsland ",nl
In welchem Land liegt Mekka?,"Land, Mekka",de
В который страна является Мекка располагается? ,"страна ,  располагается ,  Мекка ",ru
Dentro qual país é Meca localizado? ,"país ,  localizado ,  Meca ",pt
In which country is Mecca located?,"country, located, Mecca",en
मक्का किस देश में स्थित है?,"मक्का, देश, स्थित",hi_IN
مکه در کدام کشور قرار گرفته است؟,"کشور, واقع شده, مکه",fa
In quale stato si trova La Mecca?,"stato, La Mecca",it
Dans quel pays se trouve Mecca?,"pays, Mecca",fr
În ce țară se află Mecca?,"țară, se află, Mecca",ro
¿En que país se sitúa la Meca?,pais Meca,es
In welk land ligt Mekka?,"land, Mekka",nl
Wer hat Gus Fring in Breaking Bad gespielt?,"Gus Fring, Breaking Bad, Schauspieler",de
Кто играл Гас Fring в Ломать Плохо? ,"играть ,  Гас Fring ,  Ломать Плохо ",ru
Quem reproduziu Gus Fring dentro Quebra Mau? ,"Toque ,  Gus Fring ,  Quebra Mau ",pt
Who played Gus Fring in Breaking Bad?,"play, Gus Fring, Breaking Bad",en
किसने गस फ्रिंग को ब्रेकिंग बैड में निभाया है ?,"गस फ्रिंग, ब्रेकिंग बैड, निभाया, अभिनेता",hi_IN
چه کسی گوستاوو فرینگ را در بریکینگ بد بازی کرد؟,گوستاوو فرینگ، بریکینگ بد، بازی,fa
Chi ha interpretato Gustavo Fring in Breaking Bad - Reazioni collaterali?,"interpretare, Gustavo Fring, Breaking Bad - Reazioni collaterali",it
Qui joua Gus Fring dans Breaking Bad?,"acteur, Gus Fring, Breaking Bad",fr
Cine l-a jucat pe Gus Fring în Breaking Bad?,"jucat, Gus Fring, Breaking Bad",ro
¿Quién interpreto a Gus Fring en Breaking Bad?,"actor, Gus Fring, Breaking Bad",es
Wie speelt Gus Fring in Breaking Bad?,"Gus Fring, acteur, Breaking Bad",nl
In welchem Land entspringt der Nil?,"Nil, entspringen, Land",de
В который страна делает  Нил Начало? ,"Нил ,  Начало ,  страна ",ru
Dentro qual país faz a Nilo começar? ,"Nilo ,  começar ,  país ",pt
In which country does the Nile start?,"Nile, start, country",en
नाइल नदी किस देश में शुरू होती है?,"नाइल नदी, देश, शुरू",hi_IN
نیل در کدام کشور شروع می شود؟,"نیل, شروع شدن, کشور",fa
In quale stato nasce il Nilo?,"Nilo, stato, origine",it
Dans quel pays commence le Nil?,"pays, commence, Nil",fr
În care țară face  Nile start? ,"Nile ,  start ,  țară ",ro
¿En qué país nace el Nilo?,"Nilo, país, orígen",es
In welk land ontspringt de Nijl?,"ontspringt, Nijl",nl
Im welche Zustand Penn Zustand Universität ist gelegen? ,Penn Zustand Universität ,de
В который государство Penn состояние Университет является располагается? ,Penn состояние Университет ,ru
Dentro qual Estado Penn Estado Universidade é localizado? ,Penn Estado Universidade ,pt
In which state Penn State University is located?,Penn State University,en
पेन राज विद्यालय कहां स्थित है?,पेन राज्य विश्वविद्यालय ,hi_IN
  واقع شده؟  است  دانشگاه  دولت  پن  حالت  که  که در,  دانشگاه  دولت  پن,fa
In quale stato Penn Stato Università è si trova? ,Penn Stato Università ,it
Dans lequel Etat Penn Etat Université est situé? ,Penn Etat Université ,fr
În care stat Penn Stat Universitate este situat? ,Penn Stat Universitate ,ro
En cual estado Penn Estado Universidad es ¿situado? ,Penn Estado Universidad ,es
In welke staat Penn Staat Universiteit is gelegen? ,Penn Staat Universiteit ,nl
Was ist das größte Stadion in Spanien?,"Spanien, größtes Stadium",de
Какие является  самый большой стадион в Испания? ,"самый большой стадион ,  Испания ",ru
o que é a maior estádio dentro Espanha? ,"maior estádio ,  Espanha ",pt
What is the biggest stadium in Spain?,"biggest stadium, Spain",en
स्पेन में सबसे बड़ा स्टेडियम कौन सा है?,"स्पेन, सबसे बड़ा स्टेडियम",hi_IN
بزرگترین استادیوم در اسپانیا کدام است؟,بزرگترین استادیوم، اسپانیا,fa
Qual è lo stadio più grande in Spagna?,"stadio più grande, Spagna",it
Quel est le plus grand stade d'Espagne?,"plus grand stade, Espagne",fr
Care este cel mai mare stadion din Spania?,"cel mai mare stadion, Spania",ro
¿Cuál es el estadio más grande de España?,estadio más grande España,es
Wat is het grootste stadion van Spanje?,"grootste stadion, Spanje",nl
Wer ist der Trainer von Ankaras Eishockeymannschaft?,"Ankara, Eishockeymannschaft, Trainer",de
Кто является  тренер из Анкары лед хоккей команда? ,"тренер ,  лед хоккей команда ,  Анкара ",ru
Quem é a treinador do Ancara gelo hóquei equipe? ,"treinador ,  gelo hóquei equipe ,  Ancara ",pt
Who is the coach of Ankara's ice hockey team?,"coach, ice hockey team, Ankara",en
अंकारा के आइस हॉकी टीम का कोच कौन है?,"अंकारा, आइस हॉकी टीम, कोच",hi_IN
سرمربی تیم هاکی آنکارا کیست؟,سرمربی، تیم هاکی آنکارا,fa
Chi è l'allenatore della squadra di hockey di Ankara?,"allenatore, squadra di hockey, Ankara",it
Qui est le coach de l'équipe d'hockey sur glace d'Ankara?,"coach, hockey sur glace, Ankara",fr
Cine este antrenorul echipei de hochei pe gheață din Ankara?,"antrenor, echipa de hochei pe gheață, Ankara",ro
¿Quién es el entrenador del equipo de hockey sobre hielo de Ankara?,"entrenador, equipo hockey sobre hielo, Ankara",es
Wie is de coach van het ijshockey team van Ankara.,"coach, ijshockey team, Ankara",nl
Wie groß ist das Bereich von VEREINIGTES KÖNIGREICH? ,"Bereich ,  Vereinigtes Königreich ",de
Как большой является  площадь из ВЕЛИКОБРИТАНИЯ? ,"площадь ,  Великобритания ",ru
Como ampla é a área do REINO UNIDO? ,"área ,  Reino Unido ",pt
